260111152649|11/01/2026 15:26|Dorado LTD|P001|iPhone 17|2|PHONE_SIM_PACKAGE|2960.00|0.0 %|0.00|2960.00|CASH|sales
260111161218|11/01/2026 16:12|Donatela LTD|P001|iPhone 17|2|HIRE_CONTRACT|1960.00|10.0 %|196.00|1764.00|CARD|sales
260112012336|12/01/2026 01:23|DAlta LTD|P001|iPhone 17|2|HIRE_CONTRACT|1960.00|10.0 %|196.00|1764.00|CARD|sales
260112094313|12/01/2026 09:43|Daniel|P001|Apple iPhone 16 Pro|10|PHONE_SIM_PACKAGE|14800.00|10.0 %|1480.00|13320.00|CARD|manager
260113203423|13/01/2026 20:34|q|P001|Apple iPhone AIR|10|PHONE_SIM_PACKAGE|11200.00|10.0 %|1120.00|10080.00|CASH|sales
260113214439|13/01/2026 21:44|w|P001|Apple iPhone AIR|1|PHONE_SIM_PACKAGE|1120.00|0.0 %|0.00|1120.00|CASH|sales
260310210839|10/03/2026 21:08|a|P001|Apple iPhone AIR|2|SIM_FREE|2000.00|0 %|0.00|2000.00||
260310213502|10/03/2026 21:35|dd|P001|Apple iPhone AIR|2|PHONE_SIM_PACKAGE|2480.00|0 %|0.00|2480.00||
260310221650|10/03/2026 22:16|1|P001|Apple iPhone AIR|1|PHONE_SIM_PACKAGE|1240.00|0 %|0.00|1240.00||
260310233113|10/03/2026 23:31|dan|P001|Apple iPhone AIR|2|HIRE_CONTRACT|1960.00|0 %|0.00|1960.00||
260310233655|10/03/2026 23:36|e|P007|Apple iPhone 17 Pro|1|PHONE_SIM_PACKAGE|1339.00|0 %|0.00|1339.00||
260311001307|11/03/2026 00:13|danut|P001|Apple iPhone AIR|2|PHONE_SIM_PACKAGE|2240.00|0 %|0.00|2240.00||
260311001606|11/03/2026 00:16|karl|P001|Apple iPhone AIR|1|PHONE_SIM_PACKAGE|1480.00|0 %|0.00|1480.00||
260311002658|11/03/2026 00:26|dani|P001|Apple iPhone AIR|2|PHONE_SIM_PACKAGE|2240.00|0 %|0.00|2240.00|CARD|Dan
260311091459|11/03/2026 09:14|dan|P001|Apple iPhone AIR|2|PHONE_SIM_PACKAGE|2960.00|0 %|0.00|2960.00|CARD|dan
260311093039|11/03/2026 09:30|marek|P010|Samsung Galaxy S25 Plus|2|SIM_FREE|1978.00|0 %|0.00|1978.00|CASH|Salam
